N,Unnamed: 1,Unnamed: 2
0,300,0.0
2.467e-05,367.811,0.0
4.934e-05,434.126,0.0
7.401e-05,499.022,0.0
9.868e-05,562.738,0.0
0.00011102,594.294,0.0
0.00012336,625.688,0.0
0.00013569,656.957,0.0
0.00014803,688.139,0.0
0.00015419,703.715,0.0
0.00016036,719.285,0.0
0.00016653,734.855,0.0
0.0001727,750.427,0.0
0.00017887,766.008,1e-12
0.00018503,781.6,1e-12
0.0001912,797.208,1e-12
0.00019737,812.836,1e-12
0.00020354,828.488,1e-12
0.0002097,844.167,1e-12
0.00021587,859.877,1e-12
0.00022204,875.622,1e-12
0.00022821,891.404,2e-12
0.00023437,907.226,2e-12
0.00024671,938.995,3e-12
0.00025288,954.949,3e-12
0.00025905,970.952,4e-12
0.00027138,1003.103,5e-12
0.00028372,1035.447,7e-12
0.00029605,1067.978,9e-12
0.00030839,1100.676,1.3e-11
0.00032072,1133.509,1.8e-11
0.00033306,1166.43,2.6e-11
0.00034539,1199.373,3.8e-11
0.00035156,1215.821,4.7e-11
0.00035773,1232.241,5.8e-11
0.00037007,1264.952,8.9e-11
0.00037623,1281.195,1.12e-10
0.0003824,1297.343,1.41e-10
0.00038857,1313.377,1.78e-10
0.00039474,1329.275,2.24e-10
0.0004009,1345.014,2.83e-10
0.00040707,1360.571,3.58e-10
0.00041324,1375.919,4.5e-10
0.00041941,1391.033,5.66e-10
0.00042558,1405.885,7.07e-10
0.00043174,1420.45,8.8e-10
0.00043791,1434.697,1.089e-09
0.00044408,1448.601,1.338e-09
0.00045025,1462.133,1.631e-09
0.00045641,1475.268,1.971e-09
0.00046258,1487.979,2.362e-09
0.00046875,1500.243,2.803e-09
0.00047492,1512.037,3.294e-09
0.00048109,1523.343,3.829e-09
0.00048725,1534.142,4.404e-09
0.00049342,1544.422,5.009e-09
0.00049959,1554.172,5.633e-09
0.00050576,1563.385,6.263e-09
0.00051192,1572.06,6.883e-09
0.00051809,1580.197,7.478e-09
0.00052426,1587.801,8.034e-09
0.00053043,1594.882,8.534e-09
0.0005366,1601.453,8.967e-09
0.00054276,1607.53,9.322e-09
0.00054893,1613.133,9.593e-09
0.0005551,1618.283,9.774e-09
0.00056127,1623.005,9.866e-09
0.00056743,1627.323,9.871e-09
0.0005736,1631.265,9.795e-09
0.00057977,1634.857,9.644e-09
0.00058594,1638.127,9.428e-09
0.00059211,1641.101,9.157e-09
0.00059827,1643.806,8.842e-09
0.00060444,1646.266,8.493e-09
0.00061061,1648.505,8.119e-09
0.00061678,1650.545,7.732e-09
0.00062294,1652.408,7.337e-09
0.00062911,1654.111,6.943e-09
0.00063528,1655.673,6.555e-09
0.00064145,1657.108,6.179e-09
0.00064762,1658.432,5.816e-09
0.00065378,1659.658,5.471e-09
0.00065995,1660.795,5.144e-09
0.00066612,1661.855,4.838e-09
0.00067845,1663.77,4.286e-09
0.00069079,1665.47,3.811e-09
0.00070312,1666.999,3.407e-09
0.00071546,1668.389,3.064e-09
0.0007278,1669.667,2.774e-09
0.00074013,1670.85,2.528e-09
0.00075247,1671.952,2.319e-09
0.0007648,1672.985,2.14e-09
0.00077714,1673.955,1.986e-09
0.00078947,1674.869,1.852e-09
0.00080181,1675.733,1.734e-09
0.00081414,1676.549,1.631e-09
0.00082648,1677.322,1.539e-09
0.00083882,1678.053,1.456e-09
0.00085115,1678.746,1.382e-09
0.00086349,1679.401,1.314e-09
0.00087582,1680.021,1.253e-09
0.00088816,1680.608,1.196e-09
0.00091283,1681.685,1.096e-09
0.0009375,1682.647,1.01e-09
0.00096217,1683.504,9.34e-10
0.00098684,1684.263,8.67e-10
0.00101151,1684.932,8.07e-10
0.00103618,1685.519,7.53e-10
0.00108553,1686.463,6.61e-10
0.00113487,1687.156,5.84e-10
0.00118421,1687.632,5.18e-10
0.00123355,1687.922,4.62e-10
0.00128289,1688.048,4.13e-10
0.00138158,1687.87,3.35e-10
0.00148026,1687.272,2.74e-10
0.00157895,1686.338,2.27e-10
0.00167763,1685.133,1.89e-10
0.00177632,1683.709,1.59e-10
0.001875,1682.106,1.35e-10
0.00197368,1680.358,1.15e-10
0.00207237,1678.493,9.9e-11
0.00217105,1676.538,8.5e-11
0.00226974,1674.512,7.4e-11
0.00236842,1672.437,6.5e-11
0.00246711,1670.329,5.7e-11
0.00256579,1668.204,5e-11
0.00266447,1666.074,4.4e-11
0.00276316,1663.954,3.9e-11
0.00286184,1661.853,3.5e-11
0.00296053,1659.782,3.1e-11
0.00305921,1657.75,2.8e-11
0.00315789,1655.764,2.5e-11
0.00325658,1653.832,2.3e-11
0.00335526,1651.962,2e-11
0.00355263,1648.424,1.7e-11
0.00375,1645.16,1.4e-11
0.00394737,1642.194,1.2e-11
0.00414474,1639.541,1e-11
0.00434211,1637.209,9e-12
0.00453947,1635.205,8e-12
0.00473684,1633.53,7e-12
0.00513158,1631.194,5e-12
0.00552632,1629.96,4e-12
0.00592105,1629.719,4e-12
0.00631579,1630.304,3e-12
0.00671053,1631.488,3e-12
0.00710526,1632.973,2e-12
0.0075,1634.357,2e-12
0.00789474,1635.088,2e-12
0.00868421,1632.108,2e-12
0.00947368,1616.893,1e-12
0.00986842,1601.379,1e-12
0.01026316,1578.985,1e-12
0.01065789,1559.983,0.0
0.01085526,1551.359,0.0
0.01105263,1543.225,0.0
0.01115132,1539.257,0.0
0.01125,1535.34,0.0
0.01134868,1531.458,0.0
0.01144737,1527.615,0.0
0.01164474,1520.151,0.0
0.01174342,1516.86,0.0
0.01184211,1514.267,0.0
0.01203947,1513.184,0.0
0.01223684,1511.894,0.0
0.01243421,1510.448,0.0
0.01263158,1508.883,0.0
0.01302632,1505.488,0.0
0.01342105,1501.93,0.0
0.01421053,1494.633,0.0
0.015,1487.344,0.0
0.01578947,1480.199,0.0
0.01657895,1473.199,0.0
0.01736842,1466.289,0.0
0.01894737,1452.597,0.0
0.02052632,1438.417,0.0
0.02210526,1423.11,0.0
0.02368421,1406.146,0.0
0.02526316,1387.015,0.0
0.02684211,1365.323,0.0
0.02842105,1341.176,0.0
0.02921053,1328.526,0.0
0.03,1316.05,0.0
0.03075,1306.409,0.0
0.0315,1306.409,0.0
NO,,
0,300,0.0
2.467e-05,367.811,8.1094e-08
4.934e-05,434.126,1.06676e-07
7.401e-05,499.022,1.41732e-07
9.868e-05,562.738,1.87643e-07
0.00011102,594.294,2.16082e-07
0.00012336,625.688,2.48028e-07
0.00013569,656.957,2.83615e-07
0.00014803,688.139,3.22927e-07
0.00015419,703.715,3.44236e-07
0.00016036,719.285,3.66513e-07
0.00016653,734.855,3.89749e-07
0.0001727,750.427,4.13934e-07
0.00017887,766.008,4.39052e-07
0.00018503,781.6,4.65084e-07
0.0001912,797.208,4.9201e-07
0.00019737,812.836,5.19807e-07
0.00020354,828.488,5.48449e-07
0.0002097,844.167,5.77912e-07
0.00021587,859.877,6.08168e-07
0.00022204,875.622,6.39194e-07
0.00022821,891.404,6.70963e-07
0.00023437,907.226,7.03452e-07
0.00024671,938.995,7.69932e-07
0.00025288,954.949,8.04425e-07
0.00025905,970.952,8.39562e-07
0.00027138,1003.103,9.1113e-07
0.00028372,1035.447,9.85065e-07
0.00029605,1067.978,1.061341e-06
0.00030839,1100.676,1.139967e-06
0.00032072,1133.509,1.220993e-06
0.00033306,1166.43,1.304504e-06
0.00034539,1199.373,1.390616e-06
0.00035156,1215.821,1.43501e-06
0.00035773,1232.241,1.480132e-06
0.00037007,1264.952,1.572011e-06
0.00037623,1281.195,1.619428e-06
0.0003824,1297.343,1.667671e-06
0.00038857,1313.377,1.71677e-06
0.00039474,1329.275,1.766752e-06
0.0004009,1345.014,1.817646e-06
0.00040707,1360.571,1.869483e-06
0.00041324,1375.919,1.92229e-06
0.00041941,1391.033,1.976096e-06
0.00042558,1405.885,2.030927e-06
0.00043174,1420.45,2.086807e-06
0.00043791,1434.697,2.143754e-06
0.00044408,1448.601,2.201785e-06
0.00045025,1462.133,2.260907e-06
0.00045641,1475.268,2.321122e-06
0.00046258,1487.979,2.382422e-06
0.00046875,1500.243,2.444789e-06
0.00047492,1512.037,2.508195e-06
0.00048109,1523.343,2.572596e-06
0.00048725,1534.142,2.637938e-06
0.00049342,1544.422,2.704151e-06
0.00049959,1554.172,2.771154e-06
0.00050576,1563.385,2.838849e-06
0.00051192,1572.06,2.907129e-06
0.00051809,1580.197,2.975874e-06
0.00052426,1587.801,3.044957e-06
0.00053043,1594.882,3.114244e-06
0.0005366,1601.453,3.183595e-06
0.00054276,1607.53,3.252871e-06
0.00054893,1613.133,3.321933e-06
0.0005551,1618.283,3.390646e-06
0.00056127,1623.005,3.458882e-06
0.00056743,1627.323,3.52652e-06
0.0005736,1631.265,3.59345e-06
0.00057977,1634.857,3.659572e-06
0.00058594,1638.127,3.724799e-06
0.00059211,1641.101,3.789056e-06
0.00059827,1643.806,3.852278e-06
0.00060444,1646.266,3.914415e-06
0.00061061,1648.505,3.975427e-06
0.00061678,1650.545,4.035282e-06
0.00062294,1652.408,4.093962e-06
0.00062911,1654.111,4.151454e-06
0.00063528,1655.673,4.207753e-06
0.00064145,1657.108,4.262861e-06
0.00064762,1658.432,4.316785e-06
0.00065378,1659.658,4.369537e-06
0.00065995,1660.795,4.421132e-06
0.00066612,1661.855,4.471589e-06
0.00067845,1663.77,4.569118e-06
0.00069079,1665.47,4.662417e-06
0.00070312,1666.999,4.751684e-06
0.00071546,1668.389,4.837121e-06
0.0007278,1669.667,4.918928e-06
0.00074013,1670.85,4.9973e-06
0.00075247,1671.952,5.072423e-06
0.0007648,1672.985,5.144471e-06
0.00077714,1673.955,5.213612e-06
0.00078947,1674.869,5.28e-06
0.00080181,1675.733,5.34378e-06
0.00081414,1676.549,5.405088e-06
0.00082648,1677.322,5.464049e-06
0.00083882,1678.053,5.52078e-06
0.00085115,1678.746,5.575391e-06
0.00086349,1679.401,5.627984e-06
0.00087582,1680.021,5.678652e-06
0.00088816,1680.608,5.727485e-06
0.00091283,1681.685,5.819869e-06
0.0009375,1682.647,5.905989e-06
0.00096217,1683.504,5.986365e-06
0.00098684,1684.263,6.061459e-06
0.00101151,1684.932,6.131683e-06
0.00103618,1685.519,6.197403e-06
