0	        H2 
0.02368421	1406.146	0.000003939790
0.02526316	1387.015	0.000003367796
0.02684211	1365.323	0.000002892280
0.02842105	1341.176	0.000002490147
0.02921053	1328.526	0.000002314233
0.03000000	1316.050	0.000002166929
0.03075000	1306.409	0.000002074406
0.03150000	1306.409	0.000000000000
1	         H 
0.00000000	 300.000	0.000000000000
0.00002467	 367.811	0.000000002664
0.00004934	 434.126	0.000000014456
0.00007401	 499.022	0.000000069360
0.00009868	 562.738	0.000000257467
0.00011102	 594.294	0.000000478075
0.00012336	 625.688	0.000000822494
0.00013569	 656.957	0.000001340135
0.00014803	 688.139	0.000002087586
0.00015419	 703.715	0.000002577223
0.00016036	 719.285	0.000003149686
0.00016653	 734.855	0.000003813939
0.00017270	 750.427	0.000004579132
0.00017887	 766.008	0.000005454624
0.00018503	 781.600	0.000006450040
0.00019120	 797.208	0.000007575378
0.00019737	 812.836	0.000008841159
0.00020354	 828.488	0.000010258627
0.00020970	 844.167	0.000011839990
0.00021587	 859.877	0.000013598700
0.00022204	 875.622	0.000015549767
0.00022821	 891.404	0.000017710085
0.00023437	 907.226	0.000020098784
0.00024671	 938.995	0.000025574168
0.00025288	 954.949	0.000028788665
0.00025905	 970.952	0.000032336065
0.00027138	1003.103	0.000040463392
0.00028372	1035.447	0.000050379042
0.00029605	1067.978	0.000062493681
0.00030839	1100.676	0.000077310819
0.00032072	1133.509	0.000095436534
0.00033306	1166.430	0.000117585802
0.00034539	1199.373	0.000144582765
0.00035156	1215.821	0.000160363735
0.00035773	1232.241	0.000177725738
0.00037007	1264.952	0.000217294962
0.00037623	1281.195	0.000240169901
0.00038240	1297.343	0.000265144563
0.00038857	1313.377	0.000292344474
0.00039474	1329.275	0.000321888052
0.00040090	1345.014	0.000353883528
0.00040707	1360.571	0.000388425630
0.00041324	1375.919	0.000425592112
0.00041941	1391.033	0.000465440225
0.00042558	1405.885	0.000508003235
0.00043174	1420.450	0.000553287130
0.00043791	1434.697	0.000601267666
0.00044408	1448.601	0.000651887907
0.00045025	1462.133	0.000705056423
0.00045641	1475.268	0.000760646283
0.00046258	1487.979	0.000818494982
0.00046875	1500.243	0.000878405391
0.00047492	1512.037	0.000940147782
0.00048109	1523.343	0.001003462933
0.00048725	1534.142	0.001068066233
0.00049342	1544.422	0.001133652692
0.00049959	1554.172	0.001199902643
0.00050576	1563.385	0.001266487931
0.00051192	1572.060	0.001333078296
0.00051809	1580.197	0.001399347688
0.00052426	1587.801	0.001464980207
0.00053043	1594.882	0.001529675443
0.00053660	1601.453	0.001593152992
0.00054276	1607.530	0.001655156009
0.00054893	1613.133	0.001715453740
0.00055510	1618.283	0.001773843019
0.00056127	1623.005	0.001830148807
0.00056743	1627.323	0.001884223898
0.00057360	1631.265	0.001935947927
0.00057977	1634.857	0.001985225870
0.00058594	1638.127	0.002031986198
0.00059211	1641.101	0.002076178828
0.00059827	1643.806	0.002117773021
0.00060444	1646.266	0.002156755302
0.00061061	1648.505	0.002193127493
0.00061678	1650.545	0.002226904882
0.00062294	1652.408	0.002258114562
0.00062911	1654.111	0.002286793919
0.00063528	1655.673	0.002312989293
0.00064145	1657.108	0.002336754759
0.00064762	1658.432	0.002358151032
0.00065378	1659.658	0.002377244482
0.00065995	1660.795	0.002394106221
0.00066612	1661.855	0.002408811270
0.00067845	1663.770	0.002431980396
0.00069079	1665.470	0.002447501238
0.00070312	1666.999	0.002456035903
0.00071546	1668.389	0.002458245304
0.00072780	1669.667	0.002454774977
0.00074013	1670.850	0.002446244221
0.00075247	1671.952	0.002433238292
0.00076480	1672.985	0.002416303314
0.00077714	1673.955	0.002395943476
0.00078947	1674.869	0.002372620071
0.00080181	1675.733	0.002346751941
0.00081414	1676.549	0.002318716960
0.00082648	1677.322	0.002288854208
0.00083882	1678.053	0.002257466579
0.00085115	1678.746	0.002224823628
0.00086349	1679.401	0.002191164474
0.00087582	1680.021	0.002156700679
0.00088816	1680.608	0.002121619014
0.00091283	1681.685	0.002050107636
0.00093750	1682.647	0.001977859176
0.00096217	1683.504	0.001905694687
0.00098684	1684.263	0.001834239632
0.00101151	1684.932	0.001763966167
0.00103618	1685.519	0.001695226230
0.00108553	1686.463	0.001563137770
0.00113487	1687.156	0.001439316249
0.00118421	1687.632	0.001324225737
0.00123355	1687.922	0.001217892128
0.00128289	1688.048	0.001120068436
0.00138158	1687.870	0.000948667702
0.00148026	1687.272	0.000805028097
0.00157895	1686.338	0.000684973609
0.00167763	1685.133	0.000584669047
0.00177632	1683.709	0.000500774060
0.00187500	1682.106	0.000430461287
0.00197368	1680.358	0.000371376001
0.00207237	1678.493	0.000321574989
0.00217105	1676.538	0.000279462471
0.00226974	1674.512	0.000243730812
0.00236842	1672.437	0.000213308892
0.00246711	1670.329	0.000187318594
0.00256579	1668.204	0.000165038835
0.00266447	1666.074	0.000145876192
0.00276316	1663.954	0.000129341056
0.00286184	1661.853	0.000115028361
0.00296053	1659.782	0.000102602035
0.00305921	1657.750	0.000091782445
0.00315789	1655.764	0.000082336238
0.00325658	1653.832	0.000074067937
0.00335526	1651.962	0.000066812039
0.00355263	1648.424	0.000054886985
0.00375000	1645.160	0.000045490397
0.00394737	1642.194	0.000038017562
0.00414474	1639.541	0.000032023510
0.00434211	1637.209	0.000027177725
0.00453947	1635.205	0.000023232539
0.00473684	1633.530	0.000020000148
0.00513158	1631.194	0.000015202423
