0	        H2 
0.00000000	 300.000	0.000000000000
0.00004934	 331.475	0.000404299872
0.00009868	 360.180	0.000429232231
0.00014803	 386.423	0.000454499866
0.00019737	 410.492	0.000480209473
0.00029605	 452.851	0.000531987084
0.00039474	 489.558	0.000586462223
0.00049342	 522.005	0.000643987840
0.00059211	 551.304	0.000704865073
0.00078947	 602.922	0.000834570361
0.00098684	 650.452	0.000979613145
0.00118421	 696.852	0.001141239514
0.00138158	 744.143	0.001320505330
0.00157895	 793.839	0.001518256582
0.00177632	 847.271	0.001735074996
0.00197368	 905.918	0.001971128910
0.00207237	 938.122	0.002098524193
0.00217105	 972.838	0.002230652941
0.00226974	1010.665	0.002366861168
0.00236842	1052.370	0.002505768214
0.00246711	1098.883	0.002644389063
0.00251645	1124.353	0.002711908554
0.00256579	1151.444	0.002776061654
0.00259046	1165.621	0.002806123776
0.00261513	1180.223	0.002834269992
0.00263980	1195.238	0.002859963210
0.00266447	1210.645	0.002882549911
0.00268914	1226.408	0.002901241435
0.00271382	1242.475	0.002915097061
0.00272615	1250.597	0.002919807713
0.00273849	1258.767	0.002922867379
0.00276316	1275.212	0.002923545021
0.00277549	1283.441	0.002920627377
0.00278783	1291.658	0.002915344556
0.00280016	1299.843	0.002907500911
0.00281250	1307.973	0.002896898875
0.00282484	1316.027	0.002883342415
0.00283717	1323.979	0.002866641188
0.00284951	1331.803	0.002846615412
0.00286184	1339.473	0.002823101404
0.00287418	1346.961	0.002795957682
0.00288651	1354.239	0.002765071501
0.00289885	1361.279	0.002730365582
0.00291118	1368.053	0.002691804753
0.00292352	1374.537	0.002649402145
0.00293586	1380.708	0.002603224527
0.00294819	1386.544	0.002553396324
0.00296053	1392.030	0.002500101873
0.00297286	1397.153	0.002443585508
0.00298520	1401.905	0.002384149160
0.00299753	1406.283	0.002322147334
0.00300987	1410.288	0.002257979512
0.00302220	1413.928	0.002192080271
0.00303454	1417.214	0.002124907625
0.00304687	1420.161	0.002056930293
0.00305921	1422.787	0.001988614680
0.00307155	1425.113	0.001920412392
0.00308388	1427.161	0.001852749020
0.00309622	1428.956	0.001786014778
0.00310855	1430.521	0.001720557367
0.00312089	1431.879	0.001656677225
0.00313322	1433.054	0.001594625122
0.00314556	1434.067	0.001534601893
0.00315789	1434.937	0.001476759982
0.00317023	1435.683	0.001421206417
0.00318257	1436.321	0.001368006827
0.00319490	1436.867	0.001317190095
0.00320724	1437.334	0.001268753350
0.00321957	1437.732	0.001222666997
0.00323191	1438.073	0.001178879581
0.00324424	1438.364	0.001137322332
0.00325658	1438.614	0.001097913299
0.00326891	1438.828	0.001060561006
0.00328125	1439.013	0.001025167621
0.00329359	1439.172	0.000991631639
0.00330592	1439.311	0.000959850110
0.00331826	1439.432	0.000929720447
0.00333059	1439.538	0.000901141857
0.00334293	1439.633	0.000874016439
0.00335526	1439.717	0.000848250003
0.00337993	1439.861	0.000800526056
0.00340461	1439.984	0.000757202887
0.00342928	1440.095	0.000717700291
0.00345395	1440.200	0.000681515485
0.00347862	1440.306	0.000648217487
0.00350329	1440.415	0.000617439666
